year,rank,rider,time,team,rider_name,rider_country_code,rank_num,decade
1908,13,FranÃ§ois Beaugendre (FRA),,PeugeotâWolber,FranÃ§ois Beaugendre,FRA,13.0,1900
1908,14,Paul Chauvet (FRA),,PeugeotâWolber,Paul Chauvet,FRA,14.0,1900
1908,15,EugÃ¨ne Forestier (FRA),,PeugeotâWolber,EugÃ¨ne Forestier,FRA,15.0,1900
1908,16,Achille Germain (FRA),,AlcyonâDunlop,Achille Germain,FRA,16.0,1900
1908,17,AndrÃ© Pottier (FRA),,PeugeotâWolber,AndrÃ© Pottier,FRA,17.0,1900
1908,18,Ernest Paul (FRA),,AlcyonâDunlop,Ernest Paul,FRA,18.0,1900
1908,19,Aldo Bettini (ITA),,PeugeotâWolber,Aldo Bettini,ITA,19.0,1900
1908,20,Giovanni Gerbi (ITA),,PeugeotâWolber,Giovanni Gerbi,ITA,20.0,1900
1908,21,AloÃ¯s Catteau (BEL),,AlcyonâDunlop,AloÃ¯s Catteau,BEL,21.0,1900
1908,22,Marceau Narcy (FRA),,AlcyonâDunlop,Marceau Narcy,FRA,22.0,1900
1908,23,Martin SouliÃ© (FRA),,AlcyonâDunlop,Martin SouliÃ©,FRA,23.0,1900
1908,24,Ferdinand Payan (FRA),,Champeyrache,Ferdinand Payan,FRA,24.0,1900
1908,25,Noel Combelles (FRA),,AlcyonâDunlop,Noel Combelles,FRA,25.0,1900
1908,26,F. Gonzales (FRA),,PeugeotâWolber,F. Gonzales,FRA,26.0,1900
1908,27,Alexandre Bodinier (FRA),,AlcyonâDunlop,Alexandre Bodinier,FRA,27.0,1900
1908,28,Edouard Wattelier (FRA),,NilâSupra,Edouard Wattelier,FRA,28.0,1900
1908,29,Georges Bronchard (FRA),,Peerless,Georges Bronchard,FRA,29.0,1900
1908,30,Robert Lecointe (FRA),,AlcyonâDunlop,Robert Lecointe,FRA,30.0,1900
1908,31,Antoine Wattelier (FRA),,NilâSupra,Antoine Wattelier,FRA,31.0,1900
1908,32,Eloi Guichard (FRA),,Terrot,Eloi Guichard,FRA,32.0,1900
1908,33,LÃ©on Rabot (FRA),,AlcyonâDunlop,LÃ©on Rabot,FRA,33.0,1900
1908,34,Jean Darche (FRA),,Biguet,Jean Darche,FRA,34.0,1900
1908,35,Louis Di Maria (FRA),,,Louis Di Maria,FRA,35.0,1900
1908,36,Henri Anthoine (FRA),,Labor,Henri Anthoine,FRA,36.0,1900
1909,1,FranÃ§ois Faber (LUX),,Alcyon,FranÃ§ois Faber,LUX,1.0,1900
1909,2,Gustave Garrigou (FRA),,Alcyon,Gustave Garrigou,FRA,2.0,1900
1909,3,Jean Alavoine (FRA),,Alcyon,Jean Alavoine,FRA,3.0,1900
1909,4,Paul Duboc (FRA),,Alcyon,Paul Duboc,FRA,4.0,1900
1909,5,Cyrille van Hauwaert (BEL),,Alcyon,Cyrille van Hauwaert,BEL,5.0,1900
1909,6,Ernest Paul (FRA),,,Ernest Paul,FRA,6.0,1900
1909,7,Constant MÃ©nager (FRA),,Le Globe,Constant MÃ©nager,FRA,7.0,1900
1909,8,Louis Trousselier (FRA),,Alcyon,Louis Trousselier,FRA,8.0,1900
1909,9,EugÃ¨ne Christophe (FRA),,,EugÃ¨ne Christophe,FRA,9.0,1900
1909,10,Aldo Bettini (ITA),,,Aldo Bettini,ITA,10.0,1900
1909,11,Julien Maitron (FRA),,Le Globe,Julien Maitron,FRA,11.0,1900
1909,12,Georges Fleury (FRA),,Le Globe,Georges Fleury,FRA,12.0,1900
1909,13,Alfred Faure (FRA),,,Alfred Faure,FRA,13.0,1900
1909,14,Mario Gajoni (ITA),,Legnano,Mario Gajoni,ITA,14.0,1900
1909,15,Attilio Zavatti (ITA),,Legnano,Attilio Zavatti,ITA,15.0,1900
1909,16,Jules Deloffre (FRA),,NilâSupra,Jules Deloffre,FRA,16.0,1900
1909,17,Joseph Habierre (FRA),,,Joseph Habierre,FRA,17.0,1900
1909,18,Ildebrando Gamberini (ITA),,Felsina,Ildebrando Gamberini,ITA,18.0,1900
1909,19,Alfred Le Bars (FRA),,,Alfred Le Bars,FRA,19.0,1900
1909,20,Emile Lachaise (FRA),,,Emile Lachaise,FRA,20.0,1900
1909,21,Lucien Leman (FRA),,,Lucien Leman,FRA,21.0,1900
1909,22,LÃ©on Rabot (FRA),,,LÃ©on Rabot,FRA,22.0,1900
1909,23,Georges Oudin (FRA),,,Georges Oudin,FRA,23.0,1900
1909,24,ArmÃ©dee Dutiron (FRA),,,ArmÃ©dee Dutiron,FRA,24.0,1900
1909,24,Robert Lecointe (FRA),,,Robert Lecointe,FRA,24.0,1900
1909,26,Pierre Langlade (FRA),,,Pierre Langlade,FRA,26.0,1900
1909,27,Angelo Magagnoli (ITA),,Felsina,Angelo Magagnoli,ITA,27.0,1900
1909,28,Antony Wattelier (FRA),,,Antony Wattelier,FRA,28.0,1900
1909,29,Alfred Vaidis (FRA),,,Alfred Vaidis,FRA,29.0,1900
1909,30,Henri Alavoine (FRA),,,Henri Alavoine,FRA,30.0,1900
1909,31,Paul Boillat (SUI),,,Paul Boillat,SUI,31.0,1900
1909,32,Amleto Belloni (ITA),,,Amleto Belloni,ITA,32.0,1900
1909,33,RenÃ© Chaude (FRA),,,RenÃ© Chaude,FRA,33.0,1900
1909,34,Joseph Leblanc (FRA),,,Joseph Leblanc,FRA,34.0,1900
1909,35,Auguste Denizot (FRA),,,Auguste Denizot,FRA,35.0,1900
1909,36,Auguste Dufour (FRA),,,Auguste Dufour,FRA,36.0,1900
1909,37,Antoine Faure (FRA),,,Antoine Faure,FRA,37.0,1900
1909,38,Albert Lagagner (FRA),,,Albert Lagagner,FRA,38.0,1900
1909,39,Rodolphe Meili (FRA),,,Rodolphe Meili,FRA,39.0,1900
1909,40,Louis Gardent (FRA),,,Louis Gardent,FRA,40.0,1900
1909,41,Alcide Riviere (FRA),,,Alcide Riviere,FRA,41.0,1900
1909,42,FranÃ§ois Roche (FRA),,,FranÃ§ois Roche,FRA,42.0,1900
1909,43,Lucien Colin (FRA),,,Lucien Colin,FRA,43.0,1900
1909,44,AndrÃ© Herbelin (FRA),,,AndrÃ© Herbelin,FRA,44.0,1900
1909,45,Giovanni Perucca (SUI),,,Giovanni Perucca,SUI,45.0,1900
1909,46,EugÃ¨ne Leroy (FRA),,,EugÃ¨ne Leroy,FRA,46.0,1900
1909,47,Camille Mathieu (FRA),,,Camille Mathieu,FRA,47.0,1900
1909,48,Charles Ponson (FRA),,,Charles Ponson,FRA,48.0,1900
1909,49,Paul PiÃ©trois (FRA),,,Paul PiÃ©trois,FRA,49.0,1900
1909,50,Louis Di Maria (FRA),,,Louis Di Maria,FRA,50.0,1900
1909,51,Henri Anthoine (FRA),,,Henri Anthoine,FRA,51.0,1900
1909,52,Henri Ory (FRA),,,Henri Ory,FRA,52.0,1900
1909,53,Ernest Goujon (FRA),,,Ernest Goujon,FRA,53.0,1900
1909,54,Alfred Guidez (FRA),,,Alfred Guidez,FRA,54.0,1900
1909,55,Georges Devilly (FRA),,,Georges Devilly,FRA,55.0,1900
1910,1,Octave Lapize (FRA),,Alcyon,Octave Lapize,FRA,1.0,1910
1910,2,FranÃ§ois Faber (LUX),,Alcyon,FranÃ§ois Faber,LUX,2.0,1910
1910,3,Gustave Garrigou (FRA),,Alcyon,Gustave Garrigou,FRA,3.0,1910
1910,4,Cyrille van Hauwaert (BEL),,Alcyon,Cyrille van Hauwaert,BEL,4.0,1910
1910,5,Charles Cruchon (FRA),,,Charles Cruchon,FRA,5.0,1910
1910,6,Charles Crupelandt (FRA),,Le Globe,Charles Crupelandt,FRA,6.0,1910
1910,7,Ernest Paul (FRA),,,Ernest Paul,FRA,7.0,1910
1910,8,AndrÃ© Blaise (BEL),,Alcyon,AndrÃ© Blaise,BEL,8.0,1910
1910,9,Julien Maitron (FRA),,Le Globe,Julien Maitron,FRA,9.0,1910
1910,10,Aldo Bettini (ITA),,Alcyon,Aldo Bettini,ITA,10.0,1910
1910,11,Pierre Albini (ITA),,Legnano,Pierre Albini,ITA,11.0,1910
1910,12,Georges Paulmier (FRA),,Le Globe,Georges Paulmier,FRA,12.0,1910
1910,13,Ernesto Azzini (ITA),,Legnano,Ernesto Azzini,ITA,13.0,1910
1910,14,FranÃ§ois Lafourcade (FRA),,Legnano,FranÃ§ois Lafourcade,FRA,14.0,1910
1910,15,Henri Cornet (FRA),,Le Globe,Henri Cornet,FRA,15.0,1910
1910,16,Jules Deloffre (FRA),,Le Globe,Jules Deloffre,FRA,16.0,1910
1910,17,Constant MÃ©nager (FRA),,Legnano,Constant MÃ©nager,FRA,17.0,1910
1910,18,Luigi Azzini (ITA),,Legnano,Luigi Azzini,ITA,18.0,1910
1910,19,Augustin Ringeval (FRA),,,Augustin Ringeval,FRA,19.0,1910
1910,20,FrÃ©dÃ©ric Saillot (FRA),,Le Globe,FrÃ©dÃ©ric Saillot,FRA,20.0,1910
1910,21,Maurice Pardon (FRA),,,Maurice Pardon,FRA,21.0,1910
1910,22,Joseph Leblanc (FRA),,,Joseph Leblanc,FRA,22.0,1910
1910,23,Georges Fleury (FRA),,,Georges Fleury,FRA,23.0,1910
1910,24,Joseph Habierre (FRA),,,Joseph Habierre,FRA,24.0,1910
1910,25,FranÃ§ois Riou (FRA),,,FranÃ§ois Riou,FRA,25.0,1910
1910,26,Auguste Guyon (SUI),,,Auguste Guyon,SUI,26.0,1910
1910,27,Jean Bouillet (FRA),,,Jean Bouillet,FRA,27.0,1910
1910,28,Lucien Pothier (FRA),,,Lucien Pothier,FRA,28.0,1910
1910,29,Maurice Decaup (FRA),,Legnano,Maurice Decaup,FRA,29.0,1910
1910,30,Lucien Leman (FRA),,,Lucien Leman,FRA,30.0,1910
1910,31,Gabriel Mathonat (FRA),,,Gabriel Mathonat,FRA,31.0,1910
1910,32,Robert Chopard (SUI),,,Robert Chopard,SUI,32.0,1910
1910,33,Pietro Ghislotti (ITA),,,Pietro Ghislotti,ITA,33.0,1910
1910,34,Lucien Rocquebert (FRA),,,Lucien Rocquebert,FRA,34.0,1910
1910,35,Georges Cauvry (FRA),,,Georges Cauvry,FRA,35.0,1910
1910,36,Camille BiÃ¨re (FRA),,,Camille BiÃ¨re,FRA,36.0,1910
1910,37,Auguste Dufour (FRA),,,Auguste Dufour,FRA,37.0,1910
1910,38,Louis Jouin (FRA),,,Louis Jouin,FRA,38.0,1910
1910,39,RenÃ© ChaudÃ© (FRA),,,RenÃ© ChaudÃ©,FRA,39.0,1910
1910,40,Louis Picard (FRA),,,Louis Picard,FRA,40.0,1910
1910,41,Constant Collet (FRA),,,Constant Collet,FRA,41.0,1910
1911,1,Gustave Garrigou (FRA),,Alcyon,Gustave Garrigou,FRA,1.0,1910
1911,2,Paul Duboc (FRA),,La FranÃ§aise,Paul Duboc,FRA,2.0,1910
1911,3,Ãmile Georget (FRA),,La FranÃ§aise,Ãmile Georget,FRA,3.0,1910
1911,4,Charles Crupelandt (FRA),,La FranÃ§aise,Charles Crupelandt,FRA,4.0,1910
1911,5,Louis Heusghem (BEL),,Alcyon,Louis Heusghem,BEL,5.0,1910
1911,6,Marcel Godivier (FRA),,La FranÃ§aise,Marcel Godivier,FRA,6.0,1910
1911,7,Charles Cruchon (FRA),,La FranÃ§aise,Charles Cruchon,FRA,7.0,1910
1911,8,Ernest Paul (FRA),,Alcyon,Ernest Paul,FRA,8.0,1910
1911,9,Albert Dupont (BEL),,Le Globe,Albert Dupont,BEL,9.0,1910
1911,10,Henri Devroye (BEL),,Le Globe,Henri Devroye,BEL,10.0,1910
1911,11,Firmin Lambot (BEL),,Le Globe,Firmin Lambot,BEL,11.0,1910
1911,12,Henri Cornet (FRA),,Le Globe,Henri Cornet,FRA,12.0,1910
1911,13,Paul Deman (BEL),,,Paul Deman,BEL,13.0,1910
1911,14,Julien Maitron (FRA),,La FranÃ§aise,Julien Maitron,FRA,14.0,1910
1911,15,Jules Deloffre (FRA),,,Jules Deloffre,FRA,15.0,1910
1911,16,Georges Paulmier (FRA),,Automoto,Georges Paulmier,FRA,16.0,1910
1911,17,Ottavio Pratesi (ITA),,,Ottavio Pratesi,ITA,17.0,1910
1911,18,Vincent D'Hulst (FRA),,,Vincent D'Hulst,FRA,18.0,1910
1911,19,Alfred Faure (FRA),,Automoto,Alfred Faure,FRA,19.0,1910
1911,20,Lucien Pothier (FRA),,Le Globe,Lucien Pothier,FRA,20.0,1910
1911,21,Ãdouard LÃ©onard (FRA),,Automoto,Ãdouard LÃ©onard,FRA,21.0,1910
1911,22,Constant MÃ©nager (FRA),,Le Globe,Constant MÃ©nager,FRA,22.0,1910
1911,23,Maurice Pardon (FRA),,Le Globe,Maurice Pardon,FRA,23.0,1910
1911,24,Louis Coolsaet (BEL),,,Louis Coolsaet,BEL,24.0,1910
1911,25,Marius Vilette (FRA),,,Marius Vilette,FRA,25.0,1910
1911,26,Ernest Ricaux (FRA),,Automoto,Ernest Ricaux,FRA,26.0,1910
1911,27,Pietro Ghislotti (ITA),,,Pietro Ghislotti,ITA,27.0,1910
1911,28,Lucien Roquebert (FRA),,,Lucien Roquebert,FRA,28.0,1910
1912,1,Odile Defraye (BEL),,Alcyon,Odile Defraye,BEL,1.0,1910
1912,2,EugÃ¨ne Christophe (FRA),,Armor,EugÃ¨ne Christophe,FRA,2.0,1910
1912,3,Gustave Garrigou (FRA),,Alcyon,Gustave Garrigou,FRA,3.0,1910
1912,4,Marcel Buysse (BEL),,Peugeot,Marcel Buysse,BEL,4.0,1910
1912,5,Jean Alavoine (FRA),,Armor,Jean Alavoine,FRA,5.0,1910
1912,6,Philippe Thys (BEL),,Peugeot,Philippe Thys,BEL,6.0,1910
1912,7,Hector Tiberghien (BEL),,Griffon,Hector Tiberghien,BEL,7.0,1910
1912,8,Henri Devroye (BEL),,Le Globe,Henri Devroye,BEL,8.0,1910
1912,9,FÃ©licien Salmon (BEL),,Peugeot,FÃ©licien Salmon,BEL,9.0,1910
1912,10,Alfons Spiessens (BEL),,J.B. Louvet,Alfons Spiessens,BEL,10.0,1910
1912,11,Louis Heusghem (BEL),,Alcyon,Louis Heusghem,BEL,11.0,1910
1912,12,RenÃ© Vandenberghe (BEL),,Thomann,RenÃ© Vandenberghe,BEL,12.0,1910
1912,13,Vicenzo Borgarello (Italy),,J.B. Louvet,Vicenzo Borgarello,Italy,13.0,1910
1912,14,FranÃ§ois Faber (LUX),,Automoto,FranÃ§ois Faber,LUX,14.0,1910
1912,15,Louis Engel (FRA),,Aiglon,Louis Engel,FRA,15.0,1910
1912,16,Charles Deruyter (BEL),,Peugeot,Charles Deruyter,BEL,16.0,1910
1912,17,Jacques Coomans (BEL),,Thomann,Jacques Coomans,BEL,17.0,1910
1912,18,Firmin Lambot (BEL),,Le Globe,Firmin Lambot,BEL,18.0,1910
1912,19,Ottavio Pratesi (Italy),,,Ottavio Pratesi,Italy,19.0,1910
1912,20,Charles Guyot (SUI),,Aiglon,Charles Guyot,SUI,20.0,1910
1912,21,Jules Deloffre (FRA),,,Jules Deloffre,FRA,21.0,1910
1912,22,Gabriel Figuet (FRA),,Griffon,Gabriel Figuet,FRA,22.0,1910
1912,23,Ãdouard LÃ©onard (FRA),,J.B. Louvet,Ãdouard LÃ©onard,FRA,23.0,1910
1912,24,EugÃ¨ne Dhers (FRA),,Automoto,EugÃ¨ne Dhers,FRA,24.0,1910
1912,25,Pierre-Joseph Heusghem (BEL),,Le Globe,Pierre-Joseph Heusghem,BEL,25.0,1910
1912,26,Pierre Everaerts (BEL),,,Pierre Everaerts,BEL,26.0,1910
1912,27,Julien Maitron (FRA),,Automoto,Julien Maitron,FRA,27.0,1910
